2021-01,12366
2021-02,9960
2021-03,12854
2021-04,14356
2021-05,13734
2021-06,11943
2021-07,12572
2021-08,13003
2021-09,15136
2021-10,19073
2021-11,23426
2021-12,28078
2022-01,26683
2022-02,24679
2022-03,29448
2022-04,28579
2022-05,35533
2022-06,36235
2022-07,38970
2022-08,39568
2022-09,40630
2022-10,39385
2022-11,41007
2022-12,46445
2023-01,47323
2023-02,42985
2023-03,49278
2023-04,49035
2023-05,52273
2023-06,51727
2023-07,54536
2023-08,54480
2023-09,52481
2023-10,53041
2023-11,50837
2023-12,55703
2024-01,54716
2024-02,54123
2024-03,53984
2024-04,55803
2024-05,57487
2024-06,57003
2024-07,60155
2024-08,60339
2024-09,57594
